NPI,Name,City,State,Zip,MAC
1467872390,LUKE DOLEZAL,GOLDEN VALLEY,MN,55422,NGS
1457373466,KEVIN TOLLER,GROVE,OK,74344,Novitas
1992208722,ALEXANDER WALTERS,ASHEVILLE,NC,28803,Palmetto
1205038262,RAVI PATEL,EATONTOWN,NJ,07724,Novitas
1235333634,KAREN WICKLIFFE-KEISLER,SPARTANBURG,SC,29307,Palmetto
1912324708,AMANDA DEASY,MIDLOTHIAN,VA,23112,Palmetto
1184652323,DAVID STEINBERG,FISHKILL,NY,12524,NGS
1205987831,MATTHEW LEWIS,JEFFERSON CITY,MO,65101,WPS
1205837010,RICARDO AVILES,SIERRA VISTA,AZ,85635,Noridian
1942573639,CHRISTOPHER RODRIGUEZ,FORT SMITH,AR,72903,Novitas
1720132962,KENNETH MAVERICK,SAN ANTONIO,TX,78229,Novitas
1336161157,ROBERT FRIEDMAN,NEW YORK,NY,10028,NGS
1821272378,KYLE RHODES,LAKEWAY,TX,78738,Novitas
1275944639,ZACHARY BALEST,GAINESVILLE,GA,30501,Palmetto
1144756875,CAROLINE WATSON,HUNTSVILLE,AL,35805,Palmetto
1386871838,MARK HILL,HOMEWOOD,AL,35209,Palmetto
1770801540,JULIO ECHEGOYEN,SAN DIEGO,CA,92122,Noridian
1609968833,ANDREW NAING,NEW YORK,NY,10013,NGS
1750414157,PRIYA DESAI,PENNINGTON,NJ,08534,Novitas
1053315432,JENNIFER SALVITTI DAVIS,WASHINGTON,PA,15301,Novitas
1902892201,ANDREW MICHAEL,HENRICO,VA,23233,Palmetto
1255372827,JOHN PARK,EDISON,NJ,08820,Novitas
1023541729,SANA QURESHI,BOSTON,MA,02114,NGS
1447510615,HUMAIR KHAN,WEBSTER,TX,77598,Novitas
1205065646,GREGORY OLDHAM,WEST CHESTER,PA,19380,Novitas
1508493925,KEVIN ZHANG,PHILADELPHIA,PA,19107,Novitas
1235674458,MOON JEONG LEE,PHILADELPHIA,PA,19107,Novitas
1972663227,JOHN KLEIN,AMARILLO,TX,79124,Novitas
1417147935,BENJAMIN LAMBRIGHT,LECANTO,FL,34461,FCSO
1407161771,KLAUS FREELAND,FORT RILEY,KS,66442,WPS
1497836290,THEODORE LOIZOS,FAIRVIEW PARK,OH,44126,CGS
1851341846,THOMAS CHI,MEDINA,OH,44256,CGS
1710055041,GARY WORTZ,LEXINGTON,KY,40504,CGS
1760452338,KARL PAPPA,COLUMBUS,OH,43215,CGS
1770715484,ALY SHERALY,WINTER HAVEN,FL,33880,FCSO
1497752687,FRANK FISCHER,WINTER HAVEN,FL,33881,FCSO
1942430764,JONATHAN TOVEY,INDEPENDENCE,MO,64055,WPS
1144224627,JOHNNY GAYTON,WARNER ROBINS,GA,31088,Palmetto
1386693604,JEFFREY FISCHER,WILLMAR,MN,56201,NGS
1306837562,CATHERINE WANG,OCOEE,FL,34761,FCSO
1225092315,JAMES LEWIS,ELKINS PARK,PA,19027,Novitas
1538143805,NAVIN TEKWANI,SAINT LOUIS,MO,63128,WPS
1477879823,HEIDRUN GOLLOGLY,LA MESA,CA,91942,Noridian
1659374205,CHRISTOPHER KNIGHT,WARSAW,IN,46580,WPS
1386643104,PAUL TURGEON,CANTON,OH,44703,CGS
1770560096,WILSON KO,FLUSHING,NY,11355,NGS
1710093083,CARLOS MARTINEZ,LONG BEACH,CA,90808,Noridian
1467787226,MARK HANSEN,BLOOMINGTON,MN,55431,NGS
1053362574,CHRISTOPHER JORDAN,SCRANTON,PA,18503,Novitas
1811159791,BERDINE BURGER,CHARLESTON,SC,29414,Palmetto
1538162177,JOSHUA POWELL,NORMAN,OK,73069,Novitas
1841200037,KURT WEIR,OKLAHOMA CITY,OK,73170,Novitas
1346206224,HOWARD BARNEBEY,BELLEVUE,WA,98004,Noridian
1336309723,JUSTIN DEXTER,LIVERPOOL,NY,13088,NGS
1144261876,ALEXANDRA KONOWAL,ESTERO,FL,33928,FCSO
1245226463,LARRY MEYER,SPRINGFIELD,MO,65804,WPS
1376701391,SEBASTIAN HEERSINK,DOTHAN,AL,36301,Palmetto
1356395404,RAMESH AYYALA,TAMPA,FL,33612,FCSO
1619957081,EVA LIANG,LAS VEGAS,NV,89130,Noridian
1972893915,JONATHAN SCHULHOF,BROOKLYN,NY,11234,NGS
1487067484,DAVID KAY,MESA,AZ,85206,Noridian
1720040454,SRINIVAS DUTT,BROOKSVILLE,FL,34613,FCSO
1649267006,UKEME UMANA,MARION,IL,62959,NGS
1215921275,REGINE PAPPAS,MELBOURNE,FL,32935,FCSO
1720422520,CLIFTON FAY,OKLAHOMA CITY,OK,73104,Novitas
1609220979,TRENTON BOWEN,GILBERT,AZ,85295,Noridian
1588027213,RYAN PHAN,SAN DIEGO,CA,92193,Noridian
1063638682,MICHAEL COURIS,SAN DIEGO,CA,92103,Noridian
1245735984,STEPHEN LOBUE,MURRIETA,CA,92562,Noridian
1760420822,BRET HUGHES,DETROIT,MI,48201,WPS
